channel_id,channel_views,channel_likes,channel_name
UCVeW9qkBjo3zosnqUbG7CFw,221705,7993,John Hammond
UCW6J17hZ_Vgr6cQgd_kHt5A,246976,12761,MobileTechReview
UCWWO3yt3b5R_LrWHReU0b-g,6643,203,BeSA Cloud Academy
UCWdby8DQ9aDSPnnJGWKh4vA,216683,3442,Type-C Tech Reviews
UCWv7vMbMWH4-V0ZXdmDpPBA,1221030,30175,Programming with Mosh
UCXuqSBlHAE6Xw-yeJA0Tunw,18479904,648909,Linus Tech Tips
UCZGGwqjk5jfO4vN1SOCJ2ew,43351,1356,Digital Cloud Training
UCZf_9SblvM8iTTkouFEcHtA,324839,15281,Marina Wyss - AI & Machine Learning
UC_82czjFMgsYMjodhG_4mIw,6631,455,Tyler Ramsbey - Hack Smarter
UCa5DwgTjlWMObHDIm6-zv1A,38408,1820,"Kevin Wallace Training, LLC"
UCaO6VoaYJv4kS-TQO_M-N_g,639383,16196,Clément Mihailescu
UCbBI_p0ZtBQeDwRdOzPjARw,28993,734,SoftwareSchool - Coding Tutorials In Telugu
UCbTw29mcP12YlTt1EpUaVJw,70043,2666,Sean Allen
UCbmb5IoBtHZTpYZCDBOC1CA,10397,375,Computer Science (compsci112358)
UCcIXc5mJsHVYTZR1maL5l9w,130127,3926,DeepLearningAI
UCck1m7zZdzioiUzqhzpdNPw,214451,7477,Tech With Lucy
UCd6MoB9NC6uYN2grvUNT-Zg,4627,41,Amazon Web Services
UCdEWsSKNqogLmEQR1k6FvLA,16105,398,Android Knowledge
UCdgGyYFpMNOcQ51ecEwWTvQ,50131,2108,Freaky Tech Reviews
UCdoadna9HFHsxXWhafhNvKw,1620,67,AWS Events
UCeeFfhMcJa1kjtfZAGskOCA,3726173,190714,TechLinked
UCer2gPEPPvg5cBAP0GATwFA,965752,27836,PC BUILD-ASMR
UCfSgan80IQD_5U1t7UuwL3w,6266,225,Tech News Weekly
UCh8IuVJvRdporrHi-I9H7Vw,6176,202,Unfold Data Science
UChIZGfcnjHI0DG4nweWEduw,1518378,63010,TechSource
UChVCEXzi39_YEpUQhqmEFrQ,2992,164,🥷 RTP Tech Tips 📡
UCj4b_YT4QnFy6nx3dRCuc1w,4985,153,Python Coding (CLCODING)
UCjIbWZ__2Z_cd8PO6C81gyA,1004931,37907,Lukas | Web Development & Design
UCjcIeQoynJxuVgERPWDrT_g,46970,2361,TA Tech Tips
UClbtTCONv0ZFoM399-r4CnA,16043,286,Learning Python
UCmXmlB4-HJytD7wek0Uo97A,2256795,36643,JavaScript Mastery
UCmpptkXu8iIFe6kfDK5o7VQ,250756,15023,Machine Learnia
UCmtyQOKKmrMVaKuRXz02jbQ,4850205,282146,Sebastian Lague
UCnksRRifsSCGUZpQukUKAyg,96093,2918,iOS Academy
UCnxvzhbwByrxS60PNmkphdA,32124,248,Tech News Today
UColtS35pWaswSV634-n-H3A,2124,86,Everyday Data Science
UCpNdaZYUS4OiIIBXLnggbCw,33216,2310,DataScience ForBusiness
UCpW3qZ8gwQimOChV8lKXx6g,77777,1255,BadIntent Stream Tech Reviews
UCpjD4_qigmlmPeK9TjAR27Q,134603,8226,PC BUILD - USA
UCqAL_b-jUOTPjrTSNl2SNaQ,21220,1074,Software Developer Diaries
UCqWQzlUDdllnLmtgfSgYTCA,11004,471,Coding Tutorials
UCrM7B7SL_g1edFOnmj-SDKg,38000,714,Bloomberg Technology
UCraiFqWi0qSIxXxXN4IHFBQ,77991,2523,Be A Better Dev
UCrmnnE3yzpAyAuX_hRqyLdg,1059,52,Software Engineering Institute | Carnegie Mellon University
UCsBKjqTMwxTVFuJiY33zAAQ,7810,240,Cisco Network Learning
UCsBxhDfwURg-vQASN2ZeHwg,3421,61,MrBrownCS
UCuHZ1UYfHRqk3-5N5oc97Kw,14689,337,Towards Data Science
UCuLgfhXLVT7o1EUx8YNwV6A,50141,2479,Sheryians AI School
UCuix1GOcmoqqWcHh1W1dWAg,12891,225,Programming Tutorials
UCv9bWHC0DIn-Xb7ALNoOGWQ,36101,587,w3schools.com
UCvA_wgsX6eFAOXI8Rbg_WiQ,36577,1326,tutoriaLinux
UCvWWf-LYjaujE50iYai8WgQ,626625,36326,Paul's Hardware
UCvckuc-3Sos1aUtSqCV_0xw,21142,158,Georgia Web Development
UCvjgXvBlbQiydffZU7m1_aw,166830,6018,The Coding Train
UCwcXQMYphMbpuw8ok9HQguw,54787,1885,Code with Josh
UCwrVwiJllwhJUKXKmjLcckQ,236806,7476,Apple Developer
UCyoi9yYaQRQ2F34wDLosr2A,433,4,Data Science Academy
UCzL_0nIe8B4-7ShhVPfJkgw,1887,31,Data Science Dojo
UCzNf0liwUzMN6_pixbQlMhQ,439342,19821,Coder Coder
UCziVQEj6r60mcsvdeiNbmDw,26769,341,Tech tips
UCzqlzMvlYyWVxFcNMZYzE0g,231736,5336,Consumer Tech Review
