channel_id,channel_views,channel_likes,channel_name
UCMZFwxv5l-XtKi693qMJptA,29078,1023,Coding Addict
UCBKhdILeDie8iLkap216g7g,390927,13794,In Depth Tech Reviews
UCmpptkXu8iIFe6kfDK5o7VQ,250756,15023,Machine Learnia
UCer2gPEPPvg5cBAP0GATwFA,965752,27836,PC BUILD-ASMR
UCbTw29mcP12YlTt1EpUaVJw,70043,2666,Sean Allen
UC0YHNueF-3Nh3uQT0P4YQZw,24968,194,Computer Science Center
UCa5DwgTjlWMObHDIm6-zv1A,38408,1820,"Kevin Wallace Training, LLC"
UCdoadna9HFHsxXWhafhNvKw,1620,67,AWS Events
UCJGQuA3wmheCHiTBBBlt8pA,61844,1388,PLC Programming Tutorials Tips and Tricks
UC7iCSSpCsNw34E1o0DwgJBA,329402,7313,Gadget Tech Tips
UCnksRRifsSCGUZpQukUKAyg,96093,2918,iOS Academy
UCGWZY-0pONnKmF98dhZy9CQ,59206,894,Stephane Maarek
UC36jlTVgiE271iqkaNKi4jg,222841,5564,techandtips
UCziVQEj6r60mcsvdeiNbmDw,26769,341,Tech tips
UCMbtqTGdSsxYYhhTpV4lSTQ,3740,37,Super Data Science: ML & AI Podcast with Jon Krohn
UCCoUYv7E2VadMNnIHSdKumA,181841,6831,Tech Sky - Ethical Hacking
UCIZFrMwq1lXOA2899t7d5Aw,21471,1341,Software Engineering - ALX
UCzL_0nIe8B4-7ShhVPfJkgw,1887,31,Data Science Dojo
UCbmb5IoBtHZTpYZCDBOC1CA,10397,375,Computer Science (compsci112358)
UCh8IuVJvRdporrHi-I9H7Vw,6176,202,Unfold Data Science
UCZf_9SblvM8iTTkouFEcHtA,324839,15281,Marina Wyss - AI & Machine Learning
UC1Yf7IBfhSNFTIyb7v83o_g,324556,9189,AWS with Chetan
UCHa8J-xnRYOg5VuudfWpBgg,166911,10012,ColorCode
UCEV-Te6cqlR5MqZa2IuvWog,1022568,16693,Cisco Config
UCpNdaZYUS4OiIIBXLnggbCw,33216,2310,DataScience ForBusiness
UCbBI_p0ZtBQeDwRdOzPjARw,28993,734,SoftwareSchool - Coding Tutorials In Telugu
UCLu_yApfhAgm66qumv4nl4Q,24442,366,Tech Tips
UCZGGwqjk5jfO4vN1SOCJ2ew,43351,1356,Digital Cloud Training
UC4Xt-DUAapAtkfaWWkv4OAw,39503,894,Programming and Math Tutorials
UCsBxhDfwURg-vQASN2ZeHwg,3421,61,MrBrownCS
UCEcvESl6itwIlIVgjLtvypw,12103,861,Tech News
UCHZyqB9qHGGGw5QeRVEbQDg,103214,3777,Linux Guides
UCqAL_b-jUOTPjrTSNl2SNaQ,21220,1074,Software Developer Diaries
UC1YoWn9TDojkb9sav-bvykA,154417,5424,whitesec cyber security 
UCj4b_YT4QnFy6nx3dRCuc1w,4985,153,Python Coding (CLCODING)
UCyoi9yYaQRQ2F34wDLosr2A,433,4,Data Science Academy
UCsBKjqTMwxTVFuJiY33zAAQ,7810,240,Cisco Network Learning
UCuLgfhXLVT7o1EUx8YNwV6A,50141,2479,Sheryians AI School
UCKvjEXuc-tomU0sW_iBZ3fw,551,20,Software Engineering
UCGgAsNJ-w5v4c4iyOH_hGig,795919,11501,Learn Computer Science
UC_82czjFMgsYMjodhG_4mIw,6631,455,Tyler Ramsbey - Hack Smarter
UCwcXQMYphMbpuw8ok9HQguw,54787,1885,Code with Josh
UCWdby8DQ9aDSPnnJGWKh4vA,216683,3442,Type-C Tech Reviews
UC2TP2EQLvB-w1wrRpEH95dQ,2045,17,CloudWolf AWS
UC3XGlNq8O5hZlZBJlSFB4jg,18054,1240,Radu Mariescu-Istodor
UCRQhZGXC0WK85YRXl7nGX0w,15784,704,"All Things JavaScript, LLC"
UCDsEHTvh-YO80AZna7X7UVA,96423,780,WB Web Development Solutions
UC5vr5PwcXiKX_-6NTteAlXw,27364,830,Python Tutorials for Digital Humanities
UCHxA_q3cXYYx8d1svHkFRZw,36603,581,The Tech Reviewer
UCdEWsSKNqogLmEQR1k6FvLA,16105,398,Android Knowledge
UCjcIeQoynJxuVgERPWDrT_g,46970,2361,TA Tech Tips
UCdgGyYFpMNOcQ51ecEwWTvQ,50131,2108,Freaky Tech Reviews
UCKPSmMfDsXTKrCZApukcJ7A,13269,453,Talk Python
UC7pdnrWVj8eDfCI0bRe_0kQ,153452,2942,Linux Training Academy
UC7kjWIK1H8tfmFlzZO-wHMw,9113,287,The TWIML AI Podcast with Sam Charrington
UCCd3-JX7e8uGZx00i5646jg,3759,151,Daily Tech News Show
UCjIbWZ__2Z_cd8PO6C81gyA,1004931,37907,Lukas | Web Development & Design
UCHHIyLEhmDENeTgGAjFt3lw,80413,1620,PC Building Simulator
UCuix1GOcmoqqWcHh1W1dWAg,12891,225,Programming Tutorials
UCM2fAU1oR3k4VCEMAkq4fcA,45366,1309,Web Design Mastery
UColtS35pWaswSV634-n-H3A,2124,86,Everyday Data Science
UCpW3qZ8gwQimOChV8lKXx6g,77777,1255,BadIntent Stream Tech Reviews
UCnxvzhbwByrxS60PNmkphdA,32124,248,Tech News Today
UCpjD4_qigmlmPeK9TjAR27Q,134603,8226,PC BUILD - USA
UCWWO3yt3b5R_LrWHReU0b-g,6643,203,BeSA Cloud Academy
UCrmnnE3yzpAyAuX_hRqyLdg,1059,52,Software Engineering Institute | Carnegie Mellon University
UCuHZ1UYfHRqk3-5N5oc97Kw,14689,337,Towards Data Science
UCTVGjydBHM2g5_K18MZqE4Q,1996,57,Programming in Python
UCqWQzlUDdllnLmtgfSgYTCA,11004,471,Coding Tutorials
UClbtTCONv0ZFoM399-r4CnA,16043,286,Learning Python
UCfSgan80IQD_5U1t7UuwL3w,6266,225,Tech News Weekly
UCQVE2WU-h_dszY5If6oFvFg,1084,80,Web Dev Mastery
UChVCEXzi39_YEpUQhqmEFrQ,2992,164,🥷 RTP Tech Tips 📡
UCA7HuPQ_JRBi7KN8muvxc2w,19132,604,Cloud Simplified
UC5jiGyfEcnFJNjtyS40c3Zg,518,11,AWS Partner Network
UCBKM3HATRILZyG9jGNJKGXQ,3386,77,Software Engineering Daily
UCvckuc-3Sos1aUtSqCV_0xw,21142,158,Georgia Web Development
UC4lM4hz_v5ixNjK54UwPEVw,51616,1554,Machine Learning and AI Academy
UCTnOFmMwZIi7jJYS_nAfeyQ,122326,4296,The Helpful Hacker
UCHd1qamEkVSlTWkEqIqJbEQ,28542,1194,Visual Computer Science
